Division,Batch-Transaction ID,Transaction Date,Card Posting Dt,Merchant Name,Transaction Amt.,Trx.Currency,Original Amount,Original Currency,G/L Account,G/L Account Description,Cost Center / WBS Element / Order,Cost Center / WBS Element / Order Description,Merchant Type,Merchant Type Description,Purpose
TORONTO PARAMEDIC SERVICES,5289-1,7/1/2019,7/2/2019,2569187 ONTARIO INC. O,60.01,CAD,60.01,CAD,2260,GASOLINE,B41100,MAINTENANCE OF FLEET,5541,Service Stations (with or without Ancill,GASOLINE
,,,,,60.01,CAD,60.01,CAD,,,,,,,
SOLID WASTE MANAGEMENT,5288-1,6/28/2019,7/1/2019,PETROCAN,40.00,CAD,40.00,CAD,2260,GASOLINE,CSW312-18-04,KEELE VALLEY LF UTILITY & SOGR,5541,Service Stations (with or without Ancill,GASOLINE CITY USE
SOLID WASTE MANAGEMENT,5296-1,7/8/2019,7/9/2019,PETROCAN,115.78,CAD,115.78,CAD,2260,GASOLINE,CSW930-03-01,KEELE VALLEY SOGR,5541,Service Stations (with or without Ancill,GASOLINE-CITY USE
SOLID WASTE MANAGEMENT,5306-1,7/23/2019,7/25/2019,PETROCAN,69.69,CAD,69.69,CAD,2260,GASOLINE,CSW930-03-01,KEELE VALLEY SOGR,5541,Service Stations (with or without Ancill,GASOLINE CITY USE
,,,,,225.47,CAD,225.47,CAD,,,,,,,
SOLID WASTE MANAGEMENT,5296-2,7/9/2019,7/9/2019,FLYING M TRUCK STOP,105.38,CAD,105.38,CAD,2260,GASOLINE,SW0901,GREEN LANE LANDFILL,5541,Service Stations (with or without Ancill,FUEL CHARGE
SOLID WASTE MANAGEMENT,5308-1,7/26/2019,7/29/2019,FLYING M TRUCK STOP,107.96,CAD,107.96,CAD,2260,GASOLINE,SW0901,GREEN LANE LANDFILL,5541,Service Stations (with or without Ancill,FUEL CHARGE
,,,,,213.34,CAD,213.34,CAD,,,,,,,
SOLID WASTE MANAGEMENT,5303-1,7/18/2019,7/22/2019,PETROCAN,74.11,CAD,74.11,CAD,2280,DIESEL - CLEAR,CSW930-03-01,KEELE VALLEY SOGR,5541,Service Stations (with or without Ancill,DIESEL-CITY USE
,,,,,74.11,CAD,74.11,CAD,,,,,,,
